ID;Datetime;Likes;Content
1578674454296555520;2022-10-08 09:11:34+00:00;491;Nabi Muhammad SAW merupakan manusia mulia. Tutur kata dan pribadinya penuh dengan kebaikan dan teladan. Sejak muda beliau terkenal dengan kejujuran dan dapat terpercaya. Atas sifat terpuji tersebut, beliau diberi gelar Al Amin oleh orang-orang Quraish. https://t.co/olA4bYcSJE
1578397113389436929;2022-10-07 14:49:31+00:00;9;@elleanor12 Tadi sore mampir Jogja. Sekarang bermalam dengan sejuknya Magelang.
1578369463576981505;2022-10-07 12:59:39+00:00;16;@Putriaditia__ @Gerindra Kalau gak ada penjelasan ini, masih menebak-nebak maksudnya apa?
1578368955248279553;2022-10-07 12:57:38+00:00;9;@PuutriiRahmaa Terima kasih. Salam hormat untuk keluarga.
1578365091006644225;2022-10-07 12:42:16+00:00;935;Dirgahayu Kota Jogja ke-266. Selalu istimewa dan ngangeni. https://t.co/JUGbPM2YfE
1577583775545905152;2022-10-05 08:57:36+00:00;165;"Kalian adalah tentara rakyat, yang bersumpah melindungi setiap tumpah darah Indonesia dan setia hanya kepada Merah Putih.

Jaga selalu kehormatan TNI dan tunaikan janji baktimu hanya untuk rakyat dan bangsa Indonesia. Dirgahayu TNI ke-77."
1577583349551362048;2022-10-05 08:55:55+00:00;1069;Dirgahayu Tentara Nasional Indonesia (TNI), ikat kembali jiwa-jiwa korsa dan kebanggaan sebagai bagian dari TNI. Ingatlah bahwa kalian adalah garda terdepan dalam menjaga kedaulatan, kehormatan bangsa. https://t.co/qbUWz4vQEg
1576499171669876737;2022-10-02 09:07:47+00:00;60;@Yandra1771 Sehat untuk kita dan keluarga.
1576497726740893696;2022-10-02 09:02:02+00:00;261;Suatu peristiwa yang sangat mengagetkan kita, terjadi pada 1 Oktober 2022, yaitu hari kemarin yang baru lalu. Hal ini sungguh sangat mengejutkan dan saya berdoa agar keluarga yang ditinggal diberi kekuatan oleh Yang Maha Kuasa, sehingga tegar dan tabah mengalami musibah ini.
1576497520200810496;2022-10-02 09:01:13+00:00;3056;Saya, Prabowo Subianto, Menteri Pertahanan Republik Indonesia, mengucapkan turut berduka cita dan bela sungkawa pada seluruh keluarga korban peristiwa tragedi Stadion Kanjuruhan, Malang. https://t.co/51OfXlqu2R
1573582253799530496;2022-09-24 07:56:59+00:00;1023;"Naik kereta membawa lilin
Dari Surabaya sampai ke Gresik
Sugeng ambal warsa kagem Cak Imin @cakimiNOW
Barakallah Fii Umrik

Sehat dan kuat dalam kehidupan.
Bahagia dan Gembira dalam perjuangan. https://t.co/JXE3NfNjlb"
1573498486732951552;2022-09-24 02:24:08+00:00;4;@GodBlessHans Teri medan dimasak apa?
1573489561329491968;2022-09-24 01:48:40+00:00;17;@coretan_gorong2 Bukan selalu tentang untung rugi, tapi tentang rakyat, tentang bangsa dan negara.
1573488636049248257;2022-09-24 01:44:59+00:00;119;Selamat berakhir pekan untuk sahabat-sahabat sekalian. Salam hormat saya untuk keluarga.
1573488126533591040;2022-09-24 01:42:58+00:00;183;Pernah menimba ilmu di Pesantren Tegalrejo waktu masih jadi taruna Akademi Militer. Sudah dididik sejak lama untuk selalu dekat dengan kyai dan tokoh agama lainnya. https://t.co/WqaqtgMTB2
