,0
217,kau ngalami beliau nggak ted diperhitungkan kancah dunia kalo ah
218,jkt amburadul dipegang anis skrg jd presiden ente waras bahlul
219,cuman melakukannya sembah sujudku anies
220,jakarta maju gub bodoh lengser fakta
221,nyaingi 🤣
222,calon jd kewajiban beda ama gbk kemarin pejabat resmi empati ngomong copras capres peduli berkunjung cianjur
223,pentolan ane pentolan nii
224,sih ngomongin anies ngomongin anies politik identitas anies tukang ngibul anies anies boneka oligarki dll
225,om nih oms cape pilih manaabis bgt
226,nahhhkanbener buanget
227,kelebihan anies bikin nt gawean kgak lutang lantung
228,stress mmg😅😅
229,bani kibul
230,yah pinterinum tolak angiiin ye gus ted
231,kelebihan teddy slalu serang bingung bilangyaa teddy tolol aja kelebihannya
232,sombong banget
233,intinya sih tetep dukung anies mekipun sok pinter
234,ah sih🤭
235,ngurusin jkt aja anis ga urus negara modal jualan agama
236,kalu perbedaan tdk seru hidup dunia jd monoton
237,yaa ted hebat aja calon presiden partai calonkan
238,bang gila
239,terguncang pilihan rakyat
240,sih gemeteran tp kemungikan nggak nyambung krn beda wawasan akibat beda latar blkg pendidikan gemetaran krn gregetan sdh gamblang msh sok pinter lho
241,hahaha dasar buzzers ah bisany cm cerita ngarang fitnah🤣👎
242,kutakutkan kelak kau anies klo beliau terpilih jd presiden track record mu sgt meragukan bs malu eitzz lupa buzzerp malu 🤭🤭🤭
243,km bodoh bikin narasi membodohi rakyat bego luh
244,ngurus jakarta aja becus
245,ojo lupa dukung anies
246,buk dipake malam ngamok” gitu
247,anak stress krn kurikulumnya pendidikan tdk sesuai dg standar permasalahan dunia pendidikan merata blm stunting anak org missqueen disaat pk presiden cc
248,emang sih klo diliat bikin bosen beda aura jokowi
249,tukang ngibul jago main drama🙈
250,perbedaan 🤭
251,luapkan amarahmu ploong 😁😁🤣🤣
252,bicara asn bicara umr gaji pokok jaman jaman now dimana tunjangan kinerja jabatan biaya pendidikan mahal jmn pk menteri pk byk anak didik stress cc
253,barang rongsokan pungut gerindra jadikan boneka dki selesai pembohong dki ngenyek menolong dasar onta terimakasih
254,ga tanggapi spesialis meng goblogkan alias pamer goblog
255,nggak diajak festival perahu ciliwung nggak kenape takut die takut diceburin
256,sdh berbuat negara ted dinilai bodoh sdh berkarya bangsa jejak konkretnya tau setai tainya ahok jd gubernur sesusah susahnya jokowi berbicara menepati janji tp jokowi dipakai negara
257,kadruners aja dikibulin kibulisasi ustad namanya anies daging ayam sapi paket bansos dki faktanya
258,demokrasi dibrangus alasan perbedaan
259,pribumi palsu
260,kalo luh aja begok luh ted 🤣🤣🤣🤣masyarakat tau kapasitas otak luh 🤣🤣☺
261,nasdrun slip of tongue salah why not the best maksudnya why not the beast tata kata🤣
262,suap fakta² historis
263,politik identitas dimainkan mencari dukungan politikapapun rakyat indonesia cerdas menilai harga kehidupan berbangsa bernegara mahal dibandingkan kpentingan politik demokrasi berdasarkan pancasila dasar dmokrasi sehat
264,sumber tinggal googling repot
265,asli editan
266,bego udah nyalahi aturan tp banggajadwal anye adadasar haus berkuasa😭😭😭🤣🤣hadewee
267,ente menghalalkan ganja terpilih presiden anti narkoba menjegal ente
268,yaelaaaaahhasil 🤣 nih baca biar otak lurus dikit ga ogeb lol👇
269,berak
270,iya iya dipropaganda pilpres kalahkyk prabowo didukung kadrun kalah in anies ngikuti kalah drungoblog
271,gue nanya ted kuliah luluslulus susahnya
272,gue nanya ted kuliah luluslulus susahnya
273,ogeb ngga gratis loh kang cuitan rupiah 😭 cc
274,agama islam arab nabi arab presiden indonesia asli indonesia jakarta pengamen dibohongin yemen
275,pura pura merakyat kelas ekonomi eh cuekin privat jet eh bully nasib nasib
276,sikat pekai akarnya
277,biadab
278,seujung kukunya pendukung jokowi iniklu org turun semuapulau jawa tenggelamjadii sok sok an kau kadrun tai laco
279,tipikal org literasicoba deh skli aja jgn pakek kasar biar keliatan pinternya
280,treak anti oligarki trnyata jongoz tepatnya boneka oligarki 😂😂😂
281,iq rendah blum menerima argumen nalar terbatas otak tersumbat
282,buzzer emang goblok minimal pernh jkt biar begonya ga diborong
283,jabatan mah rela budak khilafah
284,fix presiden krn didukung unsur oligarki aseng komunis pki hti fpi khilafuck penyembah baliho kencing pohon tidur mesjid sholat jln tawaf monas kecerdasan akal sehat menghentikannya
285,mmg geng koclokdan cacat logika😂😂
286,alhamdulilah gusti pangeran membukakan dg firaun gabener anus basedan disodomi bin wan jembud
287,pelecehan namanya habis khianati anies skrg suruh cawapresnya anies penghinaan nasdem prabowo namanya
288,do mahasiswa ga merugikan do penjabat stts gubernur terbodoh berantakan apbd mengalir jls rakyat rugi bro
289,buzzer²rp nasdem anies anti oligarki eh anies terangterangan nunjukin kalo jongosnya oligarki 🤭🤭
290,anjay kritikan neh nasdrun 🤣
291,eh romeoku lo ga nanggepi msh ngintip 😁🤭
292,dendam membara gagal bikin pulau new peking teluk jakarta ehhmalah kabur ikn nun disanananananana🤣🤣🤣
293,daerah kadrunnn jawa keok awokkk
294,asli gk asli jngn julit klo julit bloon junjungan
295,bapake seng ng kono ono seng raine auto senep nanging ra niat karo mbatin asemik teko mrene kiro entuk suguhan mangan wareg dijaluki urunan asemmm tenan
296,males gpp otaknya terbuka
297,hujan air langit turun bumi nies dimasukkan tanah dipayungin pendukungmu namanya melanggar sunnatullah🤣🤣🤣
298,tinggi prestasi diakui sekolah tinggi berbuatbukan berlagak selevel merendahkan lembaga akredetasi penentu level karyanya akredatasi dunia hebatnya diundang bicara lembaga kelas dunia
299,no video hoak
300,wkwkwkwkkkkkebanyakan kutunya 😂
301,melu rombongan anis yoo nyungsep ndik jurang
302,berpikirbawalah otaknya ngomong otak ga dibawa
303,maksudmu bong
304,halu
305,remeh gini aja bohong urusan gede bertanggungjawab jujur remeh mengh iri
306,bodoh tetep ngerti buang buang waktu
307,saking ga nemunya kesalahan anies gitu dibahas masbuloh
308,buzzerp rasis…
309,kem uan bangga kuliah aja nggak mikir apalg pekok
310,nkri harga matiyakin lonoh opm ngehargai nkri pdhal hidup nkriberani lotruz ade noh pengenx meras pancasila jd trisila ekasilaberani lo protesdasar bacot buntelan kutil 🐷 lo😊😊😊🐸🐸🐸🔨
311,wanbacot nipu
312,nkri harga maticebong biadab kicep🤣
313,videonya bayaran
314,koq tolol akun twitter
315,golongan zholimmmmmm
316,lho ngerasa
317,biarkan mas mari buktikan beliau rekam jejak beliau bebet bobot bibit pendidikan insya allah masyarakat tersesat framing jahat buzzerrp
318,wkwkwkwkwnasdem sombongtakabur nyungsep
